knot,3-genus,reason
m004,1,Knot is fibered and thus 3-genus follows from Alexander polynomial
m015,1,Knot Floer homology computation
m016,5,Knot is fibered and thus 3-genus follows from Alexander polynomial
m032,1,Knot Floer homology computation
m053,1,Knot Floer homology computation
m071,11,Knot is fibered and thus 3-genus follows from Alexander polynomial
m074,1,Knot Floer homology computation
m082,8,Knot is fibered and thus 3-genus follows from Alexander polynomial
m094,1,Knot Floer homology computation
m103,15,Knot is fibered and thus 3-genus follows from Alexander polynomial
m118,10,Knot is fibered and thus 3-genus follows from Alexander polynomial
m144,11,Knot is fibered and thus 3-genus follows from Alexander polynomial
m194,13,Knot is fibered and thus 3-genus follows from Alexander polynomial
m198,13,Knot is fibered and thus 3-genus follows from Alexander polynomial
m199,2,Knot is fibered and thus 3-genus follows from Alexander polynomial
m201,2,Knot is fibered and thus 3-genus follows from Alexander polynomial
m211,9,Knot is fibered and thus 3-genus follows from Alexander polynomial
m222,2,Knot is fibered and thus 3-genus follows from Alexander polynomial
m223,6,Knot is fibered and thus 3-genus follows from Alexander polynomial
m224,2,Knot is fibered and thus 3-genus follows from Alexander polynomial
m239,11,Knot is fibered and thus 3-genus follows from Alexander polynomial
m240,12,Knot is fibered and thus 3-genus follows from Alexander polynomial
m270,16,Knot is fibered and thus 3-genus follows from Alexander polynomial
m276,18,Knot is fibered and thus 3-genus follows from Alexander polynomial
m281,16,Knot is fibered and thus 3-genus follows from Alexander polynomial
m289,2,Knot is fibered and thus 3-genus follows from Alexander polynomial
m340,2,Knot Floer homology computation
m372,1,Knot Floer homology computation
m389,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
s016,1,Knot Floer homology computation
s023,1,Knot Floer homology computation
s042,21,Knot is fibered and thus 3-genus follows from Alexander polynomial
s068,25,Knot is fibered and thus 3-genus follows from Alexander polynomial
s086,14,Knot is fibered and thus 3-genus follows from Alexander polynomial
s104,26,Knot is fibered and thus 3-genus follows from Alexander polynomial
s114,31,Knot is fibered and thus 3-genus follows from Alexander polynomial
s188,3,Knot is fibered and thus 3-genus follows from Alexander polynomial
s194,3,Knot is fibered and thus 3-genus follows from Alexander polynomial
s239,2,Knot is fibered and thus 3-genus follows from Alexander polynomial
s294,17,Knot is fibered and thus 3-genus follows from Alexander polynomial
s301,23,Knot is fibered and thus 3-genus follows from Alexander polynomial
s308,23,Knot is fibered and thus 3-genus follows from Alexander polynomial
s336,17,Knot is fibered and thus 3-genus follows from Alexander polynomial
s344,24,Knot is fibered and thus 3-genus follows from Alexander polynomial
s346,28,Knot is fibered and thus 3-genus follows from Alexander polynomial
s367,22,Knot is fibered and thus 3-genus follows from Alexander polynomial
s369,27,Knot is fibered and thus 3-genus follows from Alexander polynomial
s384,7,Knot is fibered and thus 3-genus follows from Alexander polynomial
s385,3,Knot is fibered and thus 3-genus follows from Alexander polynomial
s407,29,Knot is fibered and thus 3-genus follows from Alexander polynomial
s451,3,Knot is fibered and thus 3-genus follows from Alexander polynomial
s526,3,Knot is fibered and thus 3-genus follows from Alexander polynomial
s558,3,Knot Floer homology computation
s560,15,Knot is fibered and thus 3-genus follows from Alexander polynomial
s580,2,Knot is fibered and thus 3-genus follows from Alexander polynomial
s582,18,Knot is fibered and thus 3-genus follows from Alexander polynomial
s648,1,Knot Floer homology computation
s652,9,Knot is fibered and thus 3-genus follows from Alexander polynomial
s665,28,Knot is fibered and thus 3-genus follows from Alexander polynomial
s682,9,Knot is fibered and thus 3-genus follows from Alexander polynomial
s684,20,Knot is fibered and thus 3-genus follows from Alexander polynomial
s704,2,Knot is fibered and thus 3-genus follows from Alexander polynomial
s726,1,Knot Floer homology computation
s769,29,Knot is fibered and thus 3-genus follows from Alexander polynomial
s800,26,Knot is fibered and thus 3-genus follows from Alexander polynomial
s836,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
s841,7,Knot is fibered and thus 3-genus follows from Alexander polynomial
s849,13,Knot is fibered and thus 3-genus follows from Alexander polynomial
s862,2,Knot Floer homology computation
s870,2,Knot Floer homology computation
s879,1,Knot Floer homology computation
s912,2,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0016,1,Knot Floer homology computation
v0025,1,Knot Floer homology computation
v0082,31,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0114,35,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0165,17,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0220,47,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0223,52,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0249,16,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0319,24,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0321,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0329,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0330,23,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0398,34,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0407,36,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0424,33,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0434,41,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0497,44,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0521,3,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0535,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0545,14,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0554,25,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0570,33,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0573,33,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0595,3,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0600,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0656,5,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0707,23,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0709,22,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0715,46,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0740,28,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0741,54,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0759,34,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0765,32,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0830,19,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0847,33,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0912,39,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0939,27,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0945,43,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0959,8,Knot is fibered and thus 3-genus follows from Alexander polynomial
v0960,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1063,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1077,49,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1109,50,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1126,5,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1217,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1243,4,Knot Floer homology computation
v1269,21,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1300,24,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1348,5,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1359,22,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1392,25,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1423,19,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1425,15,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1434,5,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1547,28,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1565,21,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1620,24,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1628,33,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1690,32,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1709,35,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1716,29,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1718,37,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1728,28,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1810,38,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1811,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1832,31,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1839,50,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1915,12,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1921,40,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1935,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1940,42,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1964,2,Knot Floer homology computation
v1966,49,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1971,4,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1980,17,Knot is fibered and thus 3-genus follows from Alexander polynomial
v1986,39,Knot is fibered and thus 3-genus follows from Alexander polynomial
v2001,1,Knot Floer homology computation
v2024,42,Knot is fibered and thus 3-genus follows from Alexander polynomial
v2090,50,Knot is fibered and thus 3-genus follows from Alexander polynomial
v2166,3,Knot is fibered and thus 3-genus follows from Alexander polynomial
v2191,10,Knot is fibered and thus 3-genus follows from Alexander polynomial
v2215,30,Knot is fibered and thus 3-genus follows from Alexander polynomial
v2217,10,Knot is fibered and thus 3-genus follows from Alexander polynomial
v2257,1,Knot Floer homology computation
v2272,2,Knot is fibered and thus 3-genus follows from Alexander polynomial
v2284,1,Knot Floer homology computation
v2290,19,Knot is fibered and thus 3-genus follows from Alexander polynomial
