knot,L-space knot
m004,False
m015,False
m016,True
m032,False
m053,False
m071,True
m074,False
m082,True
m094,False
m103,True
m118,True
m144,True
m194,True
m198,True
m199,False
m201,False
m211,True
m222,False
m223,True
m224,False
m239,True
m240,True
m270,True
m276,True
m281,True
m289,False
m340,False
m372,False
m389,False
s016,False
s023,False
s042,True
s068,True
s086,True
s104,True
s114,True
s188,False
s194,False
s239,False
s294,True
s301,True
s308,True
s336,True
s344,True
s346,True
s367,True
s369,True
s384,True
s385,False
s407,True
s451,False
s526,False
s558,False
s560,True
s580,False
s582,True
s648,False
s652,True
s665,True
s682,True
s684,True
s704,False
s726,False
s769,True
s800,True
s836,False
s841,False
s849,True
s862,False
s870,False
s879,False
s912,False
v0016,False
v0025,False
v0082,True
v0114,True
v0165,True
v0220,True
v0223,True
v0249,True
v0319,True
v0321,False
v0329,False
v0330,True
v0398,True
v0407,True
v0424,True
v0434,True
v0497,True
v0521,False
v0535,False
v0545,True
v0554,True
v0570,True
v0573,True
v0595,False
v0600,False
v0656,False
v0707,True
v0709,True
v0715,True
v0740,True
v0741,True
v0759,True
v0765,True
v0830,True
v0847,True
v0912,True
v0939,True
v0945,True
v0959,True
v0960,False
v1063,False
v1077,True
v1109,True
v1126,False
v1217,False
v1243,False
v1269,True
v1300,True
v1348,False
v1359,True
v1392,True
v1423,True
v1425,True
v1434,False
v1547,True
v1565,True
v1620,True
v1628,True
v1690,True
v1709,True
v1716,True
v1718,True
v1728,True
v1810,True
v1811,False
v1832,True
v1839,True
v1915,True
v1921,True
v1935,False
v1940,True
v1964,False
v1966,True
v1971,False
v1980,True
v1986,True
v2001,False
v2024,True
v2090,True
v2166,False
v2191,False
v2215,True
v2217,True
v2257,False
v2272,False
v2284,False
v2290,True
v2325,True
v2362,False
v2384,True
v2488,False
v2508,False
v2520,False
v2543,False
v2552,False
v2553,False
v2623,False
v2624,False
v2642,False
v2743,False
v2759,True
v2851,False
v2858,False
v2861,False
v2869,False
v2871,True
v2888,False
v2894,False
v2900,True
v2925,True
v2930,True
v3070,True
v3081,False
v3093,False
v3105,True
v3169,False
v3195,False
v3199,False
v3234,True
v3310,False
v3320,False
v3335,True
v3354,True
v3356,False
v3423,False
v3482,True
v3505,False
v3536,False
v3541,False
t00017,False
t00027,False
t00110,True
t00146,True
t00324,True
t00423,True
t00434,True
t00550,True
t00565,False
t00577,False
t00621,True
t00729,True
t00787,True
t00826,True
t00855,True
t00873,True
t00932,True
