knot,p,q,Ord,Ordv_pq,Result
K4a1,2,3,1,2,False
K4a1,2,5,1,2,False
K4a1,2,7,1,2,False
K4a1,2,9,1,2,False
K4a1,2,11,1,2,False
K5a1,2,3,1,2,False
K5a1,2,5,1,3,True
K5a1,2,7,1,3,True
K5a1,2,9,1,3,True
K5a1,2,11,1,3,True
K6a1,2,7,1,2,False
K6a1,2,9,1,2,False
K6a1,2,11,1,2,False
K6a1,2,13,1,2,False
K6a1,2,15,1,2,False
K6a2,2,7,1,3,True
K6a2,2,9,1,3,True
K6a2,2,11,1,3,True
K6a2,2,13,1,3,True
K6a2,2,15,1,3,True
K6a3,2,3,1,2,False
K6a3,2,5,1,2,False
K6a3,2,7,1,2,False
K6a3,2,9,1,2,False
K6a3,2,11,1,2,False
K7a1,2,7,1,2,False
K7a1,2,9,1,2,False
K7a1,2,11,1,2,False
K7a1,2,13,1,2,False
K7a1,2,15,1,2,False
K7a2,2,7,1,3,True
K7a2,2,9,1,3,True
K7a2,2,11,1,3,True
K7a2,2,13,1,3,True
K7a2,2,15,1,3,True
K7a3,2,7,1,3,True
K7a3,2,9,1,3,True
K7a3,2,11,1,3,True
K7a3,2,13,1,3,True
K7a3,2,15,1,3,True
K7a4,2,3,1,2,False
K7a4,2,5,1,3,True
K7a4,2,7,1,3,True
K7a4,2,9,1,3,True
K7a4,2,11,1,3,True
K7a5,2,7,1,3,True
K7a5,2,9,1,3,True
K7a5,2,11,1,3,True
K7a5,2,13,1,3,True
K7a5,2,15,1,3,True
K7a6,2,3,1,2,False
K7a6,2,5,1,3,True
K7a6,2,7,1,3,True
K7a6,2,9,1,3,True
K7a6,2,11,1,3,True
K8a1,2,7,1,3,True
K8a1,2,9,1,3,True
K8a1,2,11,1,3,True
K8a1,2,13,1,3,True
K8a1,2,15,1,3,True
K8a2,2,7,1,3,True
K8a2,2,9,1,3,True
K8a2,2,11,1,3,True
K8a2,2,13,1,3,True
K8a2,2,15,1,3,True
K8a3,2,11,1,2,False
K8a3,2,13,1,2,False
K8a3,2,15,1,2,False
K8a3,2,17,1,2,False
K8a3,2,19,1,2,False
K8a4,2,7,1,2,False
K8a4,2,9,1,2,False
K8a4,2,11,1,2,False
K8a4,2,13,1,2,False
K8a4,2,15,1,2,False
K8a5,2,7,1,2,False
K8a5,2,9,1,2,False
K8a5,2,11,1,2,False
K8a5,2,13,1,2,False
K8a5,2,15,1,2,False
K8a6,2,11,1,2,False
K8a6,2,13,1,2,False
K8a6,2,15,1,2,False
K8a6,2,17,1,2,False
K8a6,2,19,1,2,False
K8a7,2,7,1,2,False
K8a7,2,9,1,2,False
K8a7,2,11,1,2,False
K8a7,2,13,1,2,False
K8a7,2,15,1,2,False
K8a8,2,11,1,3,True
K8a8,2,13,1,3,True
K8a8,2,15,1,3,True
K8a8,2,17,1,3,True
K8a8,2,19,1,3,True
K8a9,2,7,1,3,True
K8a9,2,9,1,3,True
K8a9,2,11,1,3,True
K8a9,2,13,1,3,True
K8a9,2,15,1,3,True
K8a10,2,7,1,3,True
K8a10,2,9,1,3,True
K8a10,2,11,1,3,True
K8a10,2,13,1,3,True
K8a10,2,15,1,3,True
K8a11,2,3,1,2,False
K8a11,2,5,1,2,False
K8a11,2,7,1,2,False
K8a11,2,9,1,2,False
K8a11,2,11,1,2,False
K8a12,2,11,1,2,False
K8a12,2,13,1,2,False
