p,q,Ord_v,Ordv_pq,Result
2,3,1,2,False
2,5,1,3,True
2,7,1,3,True
2,9,1,3,True
2,11,1,3,True
2,13,1,3,True
2,15,1,3,True
2,17,1,3,True
2,19,1,3,True
2,21,1,3,True
2,23,1,3,True
2,25,1,3,True
2,27,1,3,True
2,29,1,3,True
2,31,1,3,True
2,33,1,3,True
2,35,1,3,True
2,37,1,3,True
2,39,1,3,True
2,41,1,3,True
2,43,1,3,True
2,45,1,3,True
2,47,1,3,True
2,49,1,3,True
2,51,1,3,True
2,53,1,3,True
2,55,1,3,True
2,57,1,3,True
2,59,1,3,True
2,61,1,3,True
2,63,1,3,True
2,65,1,3,True
2,67,1,3,True
2,69,1,3,True
2,71,1,3,True
2,73,1,3,True
2,75,1,3,True
2,77,1,3,True
2,79,1,3,True
2,81,1,3,True
2,83,1,3,True
2,85,1,3,True
2,87,1,3,True
2,89,1,3,True
2,91,1,3,True
2,93,1,3,True
2,95,1,3,True
2,97,1,3,True
2,99,1,3,True
2,101,1,3,True
3,4,1,3,False
3,5,1,4,False
3,7,1,5,True
3,8,1,5,True
3,10,1,5,True
3,11,1,5,True
3,13,1,5,True
3,14,1,5,True
3,16,1,5,True
3,17,1,5,True
3,19,1,5,True
3,20,1,5,True
3,22,1,5,True
3,23,1,5,True
3,25,1,5,True
3,26,1,5,True
3,28,1,5,True
3,29,1,5,True
3,31,1,5,True
3,32,1,5,True
3,34,1,5,True
3,35,1,5,True
3,37,1,5,True
3,38,1,5,True
3,40,1,5,True
3,41,1,5,True
3,43,1,5,True
3,44,1,5,True
3,46,1,5,True
3,47,1,5,True
3,49,1,5,True
3,50,1,5,True
3,52,1,5,True
3,53,1,5,True
3,55,1,5,True
3,56,1,5,True
3,58,1,5,True
3,59,1,5,True
3,61,1,5,True
3,62,1,5,True
3,64,1,5,True
3,65,1,5,True
3,67,1,5,True
3,68,1,5,True
3,70,1,5,True
3,71,1,5,True
3,73,1,5,True
3,74,1,5,True
3,76,1,5,True
3,77,1,5,True
3,79,1,5,True
3,80,1,5,True
3,82,1,5,True
3,83,1,5,True
3,85,1,5,True
3,86,1,5,True
3,88,1,5,True
3,89,1,5,True
3,91,1,5,True
3,92,1,5,True
3,94,1,5,True
3,95,1,5,True
3,97,1,5,True
3,98,1,5,True
3,100,1,5,True
3,101,1,5,True
4,5,1,4,False
4,7,1,6,False
4,9,1,7,True
4,11,1,7,True
4,13,1,7,True
4,15,1,7,True
4,17,1,7,True
4,19,1,7,True
4,21,1,7,True
4,23,1,7,True
4,25,1,7,True
4,27,1,7,True
4,29,1,7,True
4,31,1,7,True
4,33,1,7,True
4,35,1,7,True
4,37,1,7,True
4,39,1,7,True
4,41,1,7,True
4,43,1,7,True
4,45,1,7,True
4,47,1,7,True
4,49,1,7,True
4,51,1,7,True
4,53,1,7,True
4,55,1,7,True
4,57,1,7,True
4,59,1,7,True
4,61,1,7,True
4,63,1,7,True
4,65,1,7,True
4,67,1,7,True
4,69,1,7,True
4,71,1,7,True
4,73,1,7,True
4,75,1,7,True
4,77,1,7,True
4,79,1,7,True
4,81,1,7,True
4,83,1,7,True
4,85,1,7,True
4,87,1,7,True
4,89,1,7,True
4,91,1,7,True
4,93,1,7,True
4,95,1,7,True
4,97,1,7,True
4,99,1,7,True
4,101,1,7,True
4,103,1,7,True
5,6,1,5,False
5,7,1,6,False
5,8,1,7,False
5,9,1,8,False
5,11,1,9,True
5,12,1,9,True
5,13,1,9,True
5,14,1,9,True
5,16,1,9,True
5,17,1,9,True
5,18,1,9,True
5,19,1,9,True
5,21,1,9,True
5,22,1,9,True
5,23,1,9,True
5,24,1,9,True
5,26,1,9,True
5,27,1,9,True
5,28,1,9,True
5,29,1,9,True
5,31,1,9,True
5,32,1,9,True
5,33,1,9,True
5,34,1,9,True
5,36,1,9,True
5,37,1,9,True
5,38,1,9,True
5,39,1,9,True
5,41,1,9,True
5,42,1,9,True
5,43,1,9,True
5,44,1,9,True
5,46,1,9,True
5,47,1,9,True
5,48,1,9,True
5,49,1,9,True
5,51,1,9,True
5,52,1,9,True
5,53,1,9,True
5,54,1,9,True
5,56,1,9,True
5,57,1,9,True
5,58,1,9,True
5,59,1,9,True
5,61,1,9,True
5,62,1,9,True
5,63,1,9,True
5,64,1,9,True
5,66,1,9,True
5,67,1,9,True
5,68,1,9,True
5,69,1,9,True
5,71,1,9,True
5,72,1,9,True
5,73,1,9,True
5,74,1,9,True
5,76,1,9,True
5,77,1,9,True
5,78,1,9,True
5,79,1,9,True
5,81,1,9,True
5,82,1,9,True
5,83,1,9,True
5,84,1,9,True
5,86,1,9,True
5,87,1,9,True
5,88,1,9,True
5,89,1,9,True
5,91,1,9,True
5,92,1,9,True
5,93,1,9,True
5,94,1,9,True
5,96,1,9,True
5,97,1,9,True
5,98,1,9,True
5,99,1,9,True
5,101,1,9,True
5,102,1,9,True
5,103,1,9,True
5,104,1,9,True
6,7,1,6,False
6,11,1,10,False
6,13,1,11,True
6,17,1,11,True
6,19,1,11,True
6,23,1,11,True
6,25,1,11,True
6,29,1,11,True
6,31,1,11,True
6,35,1,11,True
6,37,1,11,True
6,41,1,11,True
6,43,1,11,True
6,47,1,11,True
6,49,1,11,True
6,53,1,11,True
6,55,1,11,True
6,59,1,11,True
6,61,1,11,True
6,65,1,11,True
6,67,1,11,True
6,71,1,11,True
6,73,1,11,True
6,77,1,11,True
6,79,1,11,True
6,83,1,11,True
6,85,1,11,True
6,89,1,11,True
6,91,1,11,True
6,95,1,11,True
6,97,1,11,True
6,101,1,11,True
6,103,1,11,True
7,8,1,7,False
7,9,1,8,False
7,10,1,9,False
7,11,1,10,False
7,12,1,11,False
7,13,1,12,False
7,15,1,13,True
7,16,1,13,True
7,17,1,13,True
7,18,1,13,True
7,19,1,13,True
7,20,1,13,True
7,22,1,13,True
7,23,1,13,True
7,24,1,13,True
7,25,1,13,True
7,26,1,13,True
7,27,1,13,True
7,29,1,13,True
7,30,1,13,True
7,31,1,13,True
7,32,1,13,True
7,33,1,13,True
7,34,1,13,True
7,36,1,13,True
7,37,1,13,True
7,38,1,13,True
7,39,1,13,True
7,40,1,13,True
7,41,1,13,True
7,43,1,13,True
7,44,1,13,True
7,45,1,13,True
7,46,1,13,True
7,47,1,13,True
7,48,1,13,True
7,50,1,13,True
7,51,1,13,True
7,52,1,13,True
7,53,1,13,True
7,54,1,13,True
7,55,1,13,True
7,57,1,13,True
7,58,1,13,True
7,59,1,13,True
7,60,1,13,True
7,61,1,13,True
7,62,1,13,True
7,64,1,13,True
7,65,1,13,True
7,66,1,13,True
7,67,1,13,True
7,68,1,13,True
7,69,1,13,True
7,71,1,13,True
7,72,1,13,True
7,73,1,13,True
7,74,1,13,True
7,75,1,13,True
7,76,1,13,True
7,78,1,13,True
7,79,1,13,True
7,80,1,13,True
7,81,1,13,True
7,82,1,13,True
7,83,1,13,True
7,85,1,13,True
7,86,1,13,True
7,87,1,13,True
7,88,1,13,True
7,89,1,13,True
7,90,1,13,True
7,92,1,13,True
7,93,1,13,True
7,94,1,13,True
7,95,1,13,True
7,96,1,13,True
7,97,1,13,True
7,99,1,13,True
7,100,1,13,True
7,101,1,13,True
7,102,1,13,True
7,103,1,13,True
7,104,1,13,True
7,106,1,13,True
8,9,1,8,False
8,11,1,10,False
8,13,1,12,False
8,15,1,14,False
8,17,1,15,True
8,19,1,15,True
8,21,1,15,True
8,23,1,15,True
8,25,1,15,True
8,27,1,15,True
8,29,1,15,True
8,31,1,15,True
8,33,1,15,True
8,35,1,15,True
8,37,1,15,True
8,39,1,15,True
8,41,1,15,True
8,43,1,15,True
8,45,1,15,True
8,47,1,15,True
8,49,1,15,True
8,51,1,15,True
8,53,1,15,True
8,55,1,15,True
8,57,1,15,True
8,59,1,15,True
8,61,1,15,True
8,63,1,15,True
8,65,1,15,True
8,67,1,15,True
8,69,1,15,True
8,71,1,15,True
8,73,1,15,True
8,75,1,15,True
8,77,1,15,True
8,79,1,15,True
8,81,1,15,True
8,83,1,15,True
8,85,1,15,True
8,87,1,15,True
8,89,1,15,True
8,91,1,15,True
8,93,1,15,True
8,95,1,15,True
8,97,1,15,True
8,99,1,15,True
8,101,1,15,True
8,103,1,15,True
8,105,1,15,True
8,107,1,15,True
9,10,1,9,False
9,11,1,10,False
9,13,1,12,False
9,14,1,13,False
9,16,1,15,False
9,17,1,16,False
9,19,1,17,True
9,20,1,17,True
9,22,1,17,True
9,23,1,17,True
9,25,1,17,True
9,26,1,17,True
9,28,1,17,True
9,29,1,17,True
9,31,1,17,True
9,32,1,17,True
9,34,1,17,True
9,35,1,17,True
9,37,1,17,True
9,38,1,17,True
9,40,1,17,True
9,41,1,17,True
9,43,1,17,True
9,44,1,17,True
9,46,1,17,True
9,47,1,17,True
9,49,1,17,True
9,50,1,17,True
9,52,1,17,True
9,53,1,17,True
9,55,1,17,True
9,56,1,17,True
9,58,1,17,True
9,59,1,17,True
9,61,1,17,True
9,62,1,17,True
9,64,1,17,True
9,65,1,17,True
9,67,1,17,True
9,68,1,17,True
9,70,1,17,True
9,71,1,17,True
9,73,1,17,True
9,74,1,17,True
9,76,1,17,True
9,77,1,17,True
9,79,1,17,True
9,80,1,17,True
9,82,1,17,True
9,83,1,17,True
9,85,1,17,True
9,86,1,17,True
9,88,1,17,True
9,89,1,17,True
9,91,1,17,True
9,92,1,17,True
9,94,1,17,True
9,95,1,17,True
9,97,1,17,True
9,98,1,17,True
9,100,1,17,True
9,101,1,17,True
9,103,1,17,True
9,104,1,17,True
9,106,1,17,True
9,107,1,17,True
