knot,p,q,Ord,Ordv_pq,Result
knot,p,q,Ord,Ordv_pq,Result
m004,2,3,1,2,False
m004,2,5,1,2,False
m004,2,7,1,2,False
m004,2,9,1,2,False
m004,2,11,1,2,False
m015,2,3,1,2,False
m015,2,5,1,3,True
m015,2,7,1,3,True
m015,2,9,1,3,True
m015,2,11,1,3,True
m032,2,3,1,2,False
m032,2,5,1,2,False
m032,2,7,1,2,False
m032,2,9,1,2,False
m032,2,11,1,2,False
m053,2,3,1,2,False
m053,2,5,1,3,True
m053,2,7,1,3,True
m053,2,9,1,3,True
m053,2,11,1,3,True
m074,2,3,1,2,False
m074,2,5,1,2,False
m074,2,7,1,2,False
m074,2,9,1,2,False
m074,2,11,1,2,False
m094,2,3,1,2,False
m094,2,5,1,3,True
m094,2,7,1,3,True
m094,2,9,1,3,True
m094,2,11,1,3,True
m199,2,7,1,2,False
m199,2,9,1,2,False
m199,2,11,1,2,False
m199,2,13,1,2,False
m199,2,15,1,2,False
m201,2,7,1,3,True
m201,2,9,1,3,True
m201,2,11,1,3,True
m201,2,13,1,3,True
m201,2,15,1,3,True
m222,2,7,1,2,False
m222,2,9,1,2,False
m222,2,11,1,2,False
m222,2,13,1,2,False
m222,2,15,1,2,False
m224,2,7,1,2,False
m224,2,9,1,2,False
m224,2,11,1,2,False
m224,2,13,1,2,False
m224,2,15,1,2,False
m289,2,7,1,2,False
m289,2,9,1,2,False
m289,2,11,1,2,False
m289,2,13,1,2,False
m289,2,15,1,2,False
m340,2,7,1,3,True
m340,2,9,1,3,True
m340,2,11,1,3,True
m340,2,13,1,3,True
m340,2,15,1,3,True
m372,2,3,1,2,False
m372,2,5,1,2,False
m372,2,7,1,2,False
m372,2,9,1,2,False
m372,2,11,1,2,False
m389,2,15,2,5,True
m389,2,17,2,5,True
m389,2,19,2,5,True
m389,2,21,2,5,True
m389,2,23,2,5,True
s016,2,3,1,2,False
s016,2,5,1,2,False
s016,2,7,1,2,False
s016,2,9,1,2,False
s016,2,11,1,2,False
s023,2,3,1,2,False
s023,2,5,1,3,True
s023,2,7,1,3,True
s023,2,9,1,3,True
s023,2,11,1,3,True
s188,2,11,1,3,True
s188,2,13,1,3,True
s188,2,15,1,3,True
s188,2,17,1,3,True
s188,2,19,1,3,True
s194,2,11,1,2,False
s194,2,13,1,2,False
s194,2,15,1,2,False
s194,2,17,1,2,False
s194,2,19,1,2,False
s239,2,7,1,2,False
s239,2,9,1,2,False
s239,2,11,1,2,False
s239,2,13,1,2,False
s239,2,15,1,2,False
s385,2,11,1,2,False
s385,2,13,1,2,False
s385,2,15,1,2,False
s385,2,17,1,2,False
s385,2,19,1,2,False
s451,2,11,1,2,False
s451,2,13,1,2,False
s451,2,15,1,2,False
s451,2,17,1,2,False
s451,2,19,1,2,False
s526,2,11,1,3,True
s526,2,13,1,3,True
s526,2,15,1,3,True
s526,2,17,1,3,True
s526,2,19,1,3,True
s558,2,11,1,3,True
s558,2,13,1,3,True
s558,2,15,1,3,True
s558,2,17,1,3,True
s558,2,19,1,3,True
s580,2,7,1,3,True
s580,2,9,1,3,True
s580,2,11,1,3,True
s580,2,13,1,3,True
s580,2,15,1,3,True
s648,2,3,1,2,False
s648,2,5,1,2,False
s648,2,7,1,2,False
s648,2,9,1,2,False
s648,2,11,1,2,False
s704,2,7,1,2,False
s704,2,9,1,2,False
s704,2,11,1,2,False
s704,2,13,1,2,False
s704,2,15,1,2,False
s726,2,3,1,2,False
s726,2,5,1,2,False
s726,2,7,1,2,False
s726,2,9,1,2,False
s726,2,11,1,2,False
s836,2,15,1,3,True
s836,2,17,1,3,True
s836,2,19,1,3,True
s836,2,21,1,3,True
s836,2,23,1,3,True
s841,2,27,2,5,True
s841,2,29,2,5,True
s841,2,31,2,5,True
s841,2,33,2,5,True
s841,2,35,2,5,True
s862,2,7,1,2,False
s862,2,9,1,2,False
s862,2,11,1,2,False
s862,2,13,1,2,False
s862,2,15,1,2,False
s870,2,7,1,3,True
s870,2,9,1,3,True
s870,2,11,1,3,True
s870,2,13,1,3,True
s870,2,15,1,3,True
s879,2,3,1,2,False
s879,2,5,1,2,False
s879,2,7,1,2,False
s879,2,9,1,2,False
s879,2,11,1,2,False
s912,2,7,1,2,False
s912,2,9,1,2,False
s912,2,11,1,2,False
s912,2,13,1,2,False
s912,2,15,1,2,False
v0016,2,3,1,2,False
v0016,2,5,1,2,False
v0016,2,7,1,2,False
v0016,2,9,1,2,False
v0016,2,11,1,2,False
v0025,2,3,1,2,False
v0025,2,5,1,3,True
v0025,2,7,1,3,True
v0025,2,9,1,3,True
v0025,2,11,1,3,True
v0321,2,15,1,3,True
v0321,2,17,1,3,True
v0321,2,19,1,3,True
v0321,2,21,1,3,True
v0321,2,23,1,3,True
v0329,2,15,1,2,False
v0329,2,17,1,2,False
v0329,2,19,1,2,False
v0329,2,21,1,2,False
v0329,2,23,1,2,False
