knot,p,q,Ord_v,Ordv_pq,result
K5a2,2,7,1,3,True
K5a2,2,9,1,3,True
K5a2,2,11,1,3,True
K5a2,2,13,1,3,True
K5a2,2,15,1,3,True
K5a2,2,17,1,3,True
K5a2,2,19,1,3,True
K5a2,2,21,1,3,True
K5a2,2,23,1,3,True
K5a2,2,25,1,3,True
K5a2,2,27,1,3,True
K5a2,2,29,1,3,True
K5a2,2,31,1,3,True
K5a2,2,33,1,3,True
K5a2,2,35,1,3,True
K5a2,2,37,1,3,True
K5a2,2,39,1,3,True
K5a2,2,41,1,3,True
K5a2,2,43,1,3,True
K5a2,2,45,1,3,True
K5a2,2,47,1,3,True
K5a2,2,49,1,3,True
K5a2,2,51,1,3,True
K5a2,2,53,1,3,True
K5a2,2,55,1,3,True
K5a2,2,57,1,3,True
K5a2,2,59,1,3,True
K5a2,2,61,1,3,True
K5a2,2,63,1,3,True
K5a2,2,65,1,3,True
K5a2,2,67,1,3,True
K5a2,2,69,1,3,True
K5a2,2,71,1,3,True
K5a2,2,73,1,3,True
K5a2,2,75,1,3,True
K5a2,2,77,1,3,True
K5a2,2,79,1,3,True
K5a2,2,81,1,3,True
K5a2,2,83,1,3,True
K5a2,2,85,1,3,True
K5a2,2,87,1,3,True
K5a2,2,89,1,3,True
K5a2,2,91,1,3,True
K5a2,2,93,1,3,True
K5a2,2,95,1,3,True
K5a2,2,97,1,3,True
K5a2,2,99,1,3,True
K5a2,2,101,1,3,True
K5a2,2,103,1,3,True
K5a2,2,105,1,3,True
K7a7,2,11,1,3,True
K7a7,2,13,1,3,True
K7a7,2,15,1,3,True
K7a7,2,17,1,3,True
K7a7,2,19,1,3,True
K7a7,2,21,1,3,True
K7a7,2,23,1,3,True
K7a7,2,25,1,3,True
K7a7,2,27,1,3,True
K7a7,2,29,1,3,True
K7a7,2,31,1,3,True
K7a7,2,33,1,3,True
K7a7,2,35,1,3,True
K7a7,2,37,1,3,True
K7a7,2,39,1,3,True
K7a7,2,41,1,3,True
K7a7,2,43,1,3,True
K7a7,2,45,1,3,True
K7a7,2,47,1,3,True
K7a7,2,49,1,3,True
K7a7,2,51,1,3,True
K7a7,2,53,1,3,True
K7a7,2,55,1,3,True
K7a7,2,57,1,3,True
K7a7,2,59,1,3,True
K7a7,2,61,1,3,True
K7a7,2,63,1,3,True
K7a7,2,65,1,3,True
K7a7,2,67,1,3,True
K7a7,2,69,1,3,True
K7a7,2,71,1,3,True
K7a7,2,73,1,3,True
K7a7,2,75,1,3,True
K7a7,2,77,1,3,True
K7a7,2,79,1,3,True
K7a7,2,81,1,3,True
K7a7,2,83,1,3,True
K7a7,2,85,1,3,True
K7a7,2,87,1,3,True
K7a7,2,89,1,3,True
K7a7,2,91,1,3,True
K7a7,2,93,1,3,True
K7a7,2,95,1,3,True
K7a7,2,97,1,3,True
K7a7,2,99,1,3,True
K7a7,2,101,1,3,True
K7a7,2,103,1,3,True
K7a7,2,105,1,3,True
K7a7,2,107,1,3,True
K7a7,2,109,1,3,True
K8n3,2,11,2,5,True
K8n3,2,13,2,5,True
K8n3,2,15,2,5,True
K8n3,2,17,2,5,True
K8n3,2,19,2,5,True
K8n3,2,21,2,5,True
K8n3,2,23,2,5,True
K8n3,2,25,2,5,True
K8n3,2,27,2,5,True
K8n3,2,29,2,5,True
K8n3,2,31,2,5,True
K8n3,2,33,2,5,True
K8n3,2,35,2,5,True
K8n3,2,37,2,5,True
K8n3,2,39,2,5,True
K8n3,2,41,2,5,True
K8n3,2,43,2,5,True
K8n3,2,45,2,5,True
K8n3,2,47,2,5,True
K8n3,2,49,2,5,True
K8n3,2,51,2,5,True
K8n3,2,53,2,5,True
K8n3,2,55,2,5,True
K8n3,2,57,2,5,True
K8n3,2,59,2,5,True
K8n3,2,61,2,5,True
K8n3,2,63,2,5,True
K8n3,2,65,2,5,True
K8n3,2,67,2,5,True
K8n3,2,69,2,5,True
K8n3,2,71,2,5,True
