Name,bridge number,lower bound,upper bound,explainer
m004,2,2,2,=: is two bridge
m015,2,2,2,=: is two bridge
m016,3,3,3,is Montesinos knot
m032,2,2,2,=: is two bridge
m053,2,2,2,=: is two bridge
m071,5,5,5,", >: Ord_v for L_space, <: braid index"
m074,2,2,2,=: is two bridge
m082,3,3,3,", >: is not two bridge, <: braid index"
m094,2,2,2,=: is two bridge
m103,5,5,5,", >: Ord_v for L_space, <: braid index"
m118,4,4,4,", >: Ord_v for L_space, <: braid index"
m144,3,3,3,", >: is not two bridge, <: braid index"
m194,5,5,5,", >: Ord_v for L_space, <: braid index"
m198,5,5,5,", >: Ord_v for L_space, <: braid index"
m199,3,3,3,is Montesinos knot
m201,3,3,3,is Montesinos knot
m211,4,4,4,", >: Ord_v for L_space, <: braid index"
m222,3,3,3,is Montesinos knot
m223,3,3,3,is Montesinos knot
m224,3,3,3,is Montesinos knot
m239,4,4,4,", >: Ord_v for L_space, <: braid index"
m240,4,4,4,", >: Ord_v for L_space, <: braid index"
m270,5,5,5,", >: Ord_v for L_space, <: braid index"
m276,5,5,5,", >: Ord_v for L_space, <: braid index"
m281,4,4,4,", >: Ord_v for L_space, <: braid index"
m289,2,2,2,=: is two bridge
m340,2,2,2,=: is two bridge
m372,3,3,3,is Montesinos knot
m389,3,3,3,is Montesinos knot
s016,2,2,2,=: is two bridge
s023,2,2,2,=: is two bridge
s042,5,5,5,", >: Ord_v for L_space, <: braid index"
s068,5,5,5,", >: Ord_v for L_space, <: braid index"
s086,3,3,3,", >: is not two bridge, <: braid index"
s104,7,7,7,", >: Ord_v for L_space, <: braid index"
s114,7,7,7,", >: Ord_v for L_space, <: braid index"
s188,,3,5,", >: is not two bridge, <: braid index"
s194,,3,6,", >: is not two bridge, <: braid index"
s239,3,3,3,is Montesinos knot
s294,5,5,5,", >: Ord_v for L_space, <: braid index"
s301,5,5,5,", >: Ord_v for L_space, <: braid index"
s308,5,5,5,", >: Ord_v for L_space, <: braid index"
s336,4,4,4,", >: Ord_v for L_space, <: braid index"
s344,6,6,6,", >: Ord_v for L_space, <: braid index"
s346,7,7,7,", >: Ord_v for L_space, <: braid index"
s367,4,4,4,", >: Ord_v for L_space, <: braid index"
s369,6,6,6,", >: Ord_v for L_space, <: braid index"
s384,3,3,3,is Montesinos knot
s385,3,3,3,is Montesinos knot
s407,7,7,7,", >: Ord_v for L_space, <: braid index"
s451,3,3,3,is Montesinos knot
s526,2,2,2,=: is two bridge
s558,2,2,2,=: is two bridge
s560,4,4,4,", >: Ord_v for L_space, <: braid index"
s580,3,3,3,is Montesinos knot
s582,4,4,4,", >: Ord_v for L_space, <: braid index"
s648,2,2,2,=: is two bridge
s652,3,3,3,", >: is not two bridge, <: braid index"
s665,5,5,5,", >: Ord_v for L_space, <: braid index"
s682,4,4,4,", >: Ord_v for L_space, <: braid index"
s684,5,5,5,", >: Ord_v for L_space, <: braid index"
s704,3,3,3,is Montesinos knot
s726,2,2,2,=: is two bridge
s769,6,6,6,", >: Ord_v for L_space, <: braid index"
s800,5,5,5,", >: Ord_v for L_space, <: braid index"
s836,,3,6,", >: is not two bridge, <: braid index"
s841,3,3,3,", >: is not two bridge, <: braid index"
s849,4,4,4,", >: Ord_v for L_space, <: braid index"
s862,2,2,2,=: is two bridge
s870,2,2,2,=: is two bridge
s879,3,3,3,is Montesinos knot
s912,2,2,2,=: is two bridge
v0016,2,2,2,=: is two bridge
v0025,2,2,2,=: is two bridge
v0082,5,5,5,", >: Ord_v for L_space, <: braid index"
v0114,5,5,5,", >: Ord_v for L_space, <: braid index"
v0165,3,3,3,", >: is not two bridge, <: braid index"
v0220,7,7,7,", >: Ord_v for L_space, <: braid index"
v0223,7,7,7,", >: Ord_v for L_space, <: braid index"
v0249,6,6,6,", >: Ord_v for L_space, <: braid index"
v0319,6,6,6,", >: Ord_v for L_space, <: braid index"
v0321,,3,9,", >: is not two bridge, <: braid index"
v0329,,3,10,", >: is not two bridge, <: braid index"
v0330,7,7,7,", >: Ord_v for L_space, <: braid index"
v0398,7,7,7,", >: Ord_v for L_space, <: braid index"
v0407,8,8,8,", >: Ord_v for L_space, <: braid index"
v0424,8,8,8,", >: Ord_v for L_space, <: braid index"
v0434,8,8,8,", >: Ord_v for L_space, <: braid index"
v0497,8,8,8,", >: Ord_v for L_space, <: braid index"
v0521,,3,5,", >: is not two bridge, <: braid index"
v0535,,3,5,", >: is not two bridge, <: braid index"
v0545,5,5,5,", >: Ord_v for L_space, <: braid index"
v0554,7,7,7,", >: Ord_v for L_space, <: braid index"
v0570,5,5,5,", >: Ord_v for L_space, <: braid index"
v0573,5,5,5,", >: Ord_v for L_space, <: braid index"
v0595,,3,7,", >: is not two bridge, <: braid index"
v0600,,3,5,", >: is not two bridge, <: braid index"
v0656,,3,7,", >: is not two bridge, <: braid index"
v0707,4,4,4,", >: Ord_v for L_space, <: braid index"
v0709,5,5,5,", >: Ord_v for L_space, <: braid index"
v0715,9,9,9,", >: Ord_v for L_space, <: braid index"
v0740,4,4,4,", >: Ord_v for L_space, <: braid index"
v0741,9,9,9,", >: Ord_v for L_space, <: braid index"
v0759,8,8,8,", >: Ord_v for L_space, <: braid index"
v0765,7,7,7,", >: Ord_v for L_space, <: braid index"
v0830,5,5,5,", >: Ord_v for L_space, <: braid index"
v0847,7,7,7,", >: Ord_v for L_space, <: braid index"
v0912,7,7,7,", >: Ord_v for L_space, <: braid index"
v0939,5,5,5,", >: Ord_v for L_space, <: braid index"
v0945,8,8,8,", >: Ord_v for L_space, <: braid index"
v0959,3,3,3,is Montesinos knot
v0960,3,3,3,is Montesinos knot
v1063,,3,7,", >: is not two bridge, <: braid index"
v1077,7,7,7,", >: Ord_v for L_space, <: braid index"
v1109,7,7,7,", >: Ord_v for L_space, <: braid index"
v1126,,3,6,", >: is not two bridge, <: braid index"
v1217,2,2,2,=: is two bridge
v1243,2,2,2,=: is two bridge
v1269,6,6,6,", >: Ord_v for L_space, <: braid index"
v1300,7,7,7,", >: Ord_v for L_space, <: braid index"
v1348,,3,6,", >: is not two bridge, <: braid index"
v1359,6,6,6,", >: Ord_v for L_space, <: braid index"
v1392,7,7,7,", >: Ord_v for L_space, <: braid index"
v1423,6,6,6,", >: Ord_v for L_space, <: braid index"
v1425,4,4,4,", >: Ord_v for L_space, <: braid index"
v1434,,3,5,", >: is not two bridge, <: braid index"
v1547,7,7,7,", >: Ord_v for L_space, <: braid index"
v1565,4,4,4,", >: Ord_v for L_space, <: braid index"
v1620,4,4,4,", >: Ord_v for L_space, <: braid index"
v1628,7,7,7,", >: Ord_v for L_space, <: braid index"
v1690,7,7,7,", >: Ord_v for L_space, <: braid index"
v1709,7,7,7,", >: Ord_v for L_space, <: braid index"
v1716,7,7,7,", >: Ord_v for L_space, <: braid index"
v1718,8,8,8,", >: Ord_v for L_space, <: braid index"
v1728,6,6,6,", >: Ord_v for L_space, <: braid index"
v1810,5,5,5,", >: Ord_v for L_space, <: braid index"
v1811,,3,6,", >: is not two bridge, <: braid index"
v1832,6,6,6,", >: Ord_v for L_space, <: braid index"
v1839,9,9,9,", >: Ord_v for L_space, <: braid index"
v1915,3,3,3,", >: is not two bridge, <: braid index"
v1921,8,8,8,", >: Ord_v for L_space, <: braid index"
v1935,3,3,3,is Montesinos knot
v1940,7,7,7,", >: Ord_v for L_space, <: braid index"
v1964,,3,9,", >: is not two bridge, <: braid index"
v1966,8,8,8,", >: Ord_v for L_space, <: braid index"
v1971,,3,8,", >: is not two bridge, <: braid index"
v1980,5,5,5,", >: Ord_v for L_space, <: braid index"
v1986,6,6,6,", >: Ord_v for L_space, <: braid index"
v2001,,3,6,", >: is not two bridge, <: braid index"
v2024,6,6,6,", >: Ord_v for L_space, <: braid index"
v2090,9,9,9,", >: Ord_v for L_space, <: braid index"
v2166,3,3,3,KnotInfo import
v2191,3,3,3,", >: is not two bridge, <: braid index"
v2215,5,5,5,", >: Ord_v for L_space, <: braid index"
v2217,5,5,5,", >: Ord_v for L_space, <: braid index"
v2257,,3,7,", >: is not two bridge, <: braid index"
v2272,3,3,3,is Montesinos knot
v2284,2,2,2,=: is two bridge
v2290,5,5,5,", >: Ord_v for L_space, <: braid index"
v2325,5,5,5,", >: Ord_v for L_space, <: braid index"
v2362,2,2,2,=: is two bridge
v2384,3,3,3,", >: is not two bridge, <: braid index"
v2488,2,2,2,=: is two bridge
v2508,,3,7,", >: is not two bridge, <: braid index"
v2520,2,2,2,=: is two bridge
v2543,3,3,3,is Montesinos knot
v2552,3,3,3,is Montesinos knot
v2553,3,3,3,is Montesinos knot
v2623,3,3,3,is Montesinos knot
v2624,3,3,3,is Montesinos knot
v2642,3,3,3,is Montesinos knot
v2743,,3,6,", >: is not two bridge, <: braid index"
v2759,7,7,7,", >: Ord_v for L_space, <: braid index"
v2851,4,4,4,">: Ord_v from HFK^-,<: braid index"
v2858,2,2,2,=: is two bridge
v2861,3,3,3,is Montesinos knot
v2869,,3,7,", >: is not two bridge, <: braid index"
v2871,4,4,4,", >: Ord_v for L_space, <: braid index"
v2888,,3,6,", >: is not two bridge, <: braid index"
v2894,2,2,2,=: is two bridge
v2900,6,6,6,", >: Ord_v for L_space, <: braid index"
v2925,4,4,4,", >: Ord_v for L_space, <: braid index"
v2930,7,7,7,", >: Ord_v for L_space, <: braid index"
v3070,6,6,6,", >: Ord_v for L_space, <: braid index"
v3081,4,4,4,">: Ord_v from HFK^-,<: braid index"
v3093,,3,7,", >: is not two bridge, <: braid index"
v3105,4,4,4,", >: Ord_v for L_space, <: braid index"
v3169,,3,6,", >: is not two bridge, <: braid index"
v3195,3,3,3,is Montesinos knot
v3199,4,4,4,">: Ord_v from HFK^-,<: braid index"
v3234,4,4,4,", >: Ord_v for L_space, <: braid index"
v3310,2,2,2,=: is two bridge
v3320,3,3,3,is Montesinos knot
v3335,5,5,5,", >: Ord_v for L_space, <: braid index"
v3354,6,6,6,", >: Ord_v for L_space, <: braid index"
v3356,4,4,4,">: Ord_v from HFK^-,<: braid index"
v3423,,3,6,", >: is not two bridge, <: braid index"
v3482,4,4,4,", >: Ord_v for L_space, <: braid index"
v3505,3,3,3,is Montesinos knot
v3536,3,3,3,is Montesinos knot
v3541,,3,8,", >: is not two bridge, <: braid index"
t00017,2,2,2,=: is two bridge
t00027,2,2,2,=: is two bridge
t00110,5,5,5,", >: Ord_v for L_space, <: braid index"
t00146,5,5,5,", >: Ord_v for L_space, <: braid index"
t00324,3,3,3,", >: is not two bridge, <: braid index"
t00423,7,7,7,", >: Ord_v for L_space, <: braid index"
t00434,7,7,7,", >: Ord_v for L_space, <: braid index"
t00550,6,6,6,", >: Ord_v for L_space, <: braid index"
t00565,,3,13,", >: is not two bridge, <: braid index"
t00577,,3,14,", >: is not two bridge, <: braid index"
t00621,6,6,6,", >: Ord_v for L_space, <: braid index"
t00729,7,7,7,", >: Ord_v for L_space, <: braid index"
t00787,7,7,7,", >: Ord_v for L_space, <: braid index"
t00826,8,8,8,", >: Ord_v for L_space, <: braid index"
t00855,8,8,8,", >: Ord_v for L_space, <: braid index"
t00873,8,8,8,", >: Ord_v for L_space, <: braid index"
t00932,8,8,8,", >: Ord_v for L_space, <: braid index"
t01033,5,5,5,", >: Ord_v for L_space, <: braid index"
t01037,5,5,5,", >: Ord_v for L_space, <: braid index"
t01039,,3,8,", >: is not two bridge, <: braid index"
t01125,10,10,10,", >: Ord_v for L_space, <: braid index"
t01142,,3,9,", >: is not two bridge, <: braid index"
t01216,10,10,10,", >: Ord_v for L_space, <: braid index"
t01235,,3,10,", >: is not two bridge, <: braid index"
t01268,10,10,10,", >: Ord_v for L_space, <: braid index"
t01292,10,10,10,", >: Ord_v for L_space, <: braid index"
t01318,9,9,9,", >: Ord_v for L_space, <: braid index"
t01342,,3,9,", >: is not two bridge, <: braid index"
t01368,9,9,9,", >: Ord_v for L_space, <: braid index"
t01409,9,9,9,", >: Ord_v for L_space, <: braid index"
t01422,4,4,4,", >: Ord_v for L_space, <: braid index"
t01424,9,9,9,", >: Ord_v for L_space, <: braid index"
t01440,4,4,4,", >: Ord_v for L_space, <: braid index"
t01598,11,11,11,", >: Ord_v for L_space, <: braid index"
t01636,11,11,11,", >: Ord_v for L_space, <: braid index"
t01646,11,11,11,", >: Ord_v for L_space, <: braid index"
t01690,11,11,11,", >: Ord_v for L_space, <: braid index"
t01757,7,7,7,", >: Ord_v for L_space, <: braid index"
t01779,,3,8,", >: is not two bridge, <: braid index"
t01815,6,6,6,", >: Ord_v for L_space, <: braid index"
t01834,7,7,7,", >: Ord_v for L_space, <: braid index"
t01850,8,8,8,", >: Ord_v for L_space, <: braid index"
t01863,10,10,10,", >: Ord_v for L_space, <: braid index"
t01901,,3,10,", >: is not two bridge, <: braid index"
t01949,8,8,8,", >: Ord_v for L_space, <: braid index"
t01966,5,5,5,", >: Ord_v for L_space, <: braid index"
t02019,,3,9,", >: is not two bridge, <: braid index"
t02069,,3,9,", >: is not two bridge, <: braid index"
t02099,5,5,5,", >: Ord_v for L_space, <: braid index"
t02104,9,9,9,", >: Ord_v for L_space, <: braid index"
t02188,,3,9,", >: is not two bridge, <: braid index"
t02238,8,8,8,", >: Ord_v for L_space, <: braid index"
t02275,3,3,3,is Montesinos knot
t02276,3,3,3,is Montesinos knot
t02378,11,11,11,", >: Ord_v for L_space, <: braid index"
t02398,8,8,8,", >: Ord_v for L_space, <: braid index"
t02404,9,9,9,", >: Ord_v for L_space, <: braid index"
t02470,10,10,10,", >: Ord_v for L_space, <: braid index"
t02537,7,7,7,", >: Ord_v for L_space, <: braid index"
t02567,7,7,7,", >: Ord_v for L_space, <: braid index"
