Name,Genus-3D,L-space
3_1,1,Yes
4_1,1,No
5_1,2,Yes
5_2,1,No
6_1,1,No
6_2,2,No
6_3,2,No
7_1,3,Yes
7_2,1,No
7_3,2,No
7_4,1,No
7_5,2,No
7_6,2,No
7_7,2,No
8_1,1,No
8_2,3,No
8_3,1,No
8_4,2,No
8_5,3,No
8_6,2,No
8_7,3,No
8_8,2,No
8_9,3,No
8_10,3,No
8_11,2,No
8_12,2,No
8_13,2,No
8_14,2,No
8_15,2,No
8_16,3,No
8_17,3,No
8_18,3,No
8_19,3,Yes
8_20,2,No
8_21,2,No
9_1,4,Yes
9_2,1,No
9_3,3,No
9_4,2,No
9_5,1,No
9_6,3,No
9_7,2,No
9_8,2,No
9_9,3,No
9_10,2,No
9_11,3,No
9_12,2,No
9_13,2,No
9_14,2,No
9_15,2,No
9_16,3,No
9_17,3,No
9_18,2,No
9_19,2,No
9_20,3,No
9_21,2,No
9_22,3,No
9_23,2,No
9_24,3,No
9_25,2,No
9_26,3,No
9_27,3,No
9_28,3,No
9_29,3,No
9_30,3,No
9_31,3,No
9_32,3,No
9_33,3,No
9_34,3,No
9_35,1,No
9_36,3,No
9_37,2,No
9_38,2,No
9_39,2,No
9_40,3,No
9_41,2,No
9_42,2,No
9_43,3,No
9_44,2,No
9_45,2,No
9_46,1,No
9_47,3,No
9_48,2,No
9_49,2,No
10_1,1,No
10_2,4,No
10_3,1,No
10_4,2,No
10_5,4,No
10_6,3,No
10_7,2,No
10_8,3,No
10_9,4,No
10_10,2,No
10_11,2,No
10_12,3,No
10_13,2,No
10_14,3,No
10_15,3,No
10_16,2,No
10_17,4,No
10_18,2,No
10_19,3,No
10_20,2,No
10_21,3,No
10_22,3,No
10_23,3,No
10_24,2,No
10_25,3,No
10_26,3,No
10_27,3,No
10_28,2,No
10_29,3,No
10_30,2,No
10_31,2,No
10_32,3,No
10_33,2,No
10_34,2,No
10_35,2,No
10_36,2,No
10_37,2,No
10_38,2,No
10_39,3,No
10_40,3,No
10_41,3,No
10_42,3,No
10_43,3,No
10_44,3,No
10_45,3,No
10_46,4,No
10_47,4,No
10_48,4,No
10_49,3,No
10_50,3,No
10_51,3,No
10_52,3,No
10_53,2,No
10_54,3,No
10_55,2,No
10_56,3,No
10_57,3,No
10_58,2,No
10_59,3,No
10_60,3,No
10_61,3,No
10_62,4,No
10_63,2,No
10_64,4,No
10_65,3,No
10_66,3,No
10_67,2,No
10_68,2,No
10_69,3,No
10_70,3,No
10_71,3,No
10_72,3,No
10_73,3,No
10_74,2,No
10_75,3,No
10_76,3,No
10_77,3,No
10_78,3,No
10_79,4,No
10_80,3,No
10_81,3,No
10_82,4,No
10_83,3,No
10_84,3,No
10_85,4,No
10_86,3,No
10_87,3,No
10_88,3,No
10_89,3,No
10_90,3,No
10_91,4,No
10_92,3,No
10_93,3,No
10_94,4,No
10_95,3,No
10_96,3,No
10_97,2,No
10_98,3,No
10_99,4,No
10_100,4,No
10_101,2,No
10_102,3,No
